species	geneID_prefix	geneID_length	transcript_suffix	protein_suffix	transcript_prefix	protein_prefix
BmA	BGIBMGA	13	-RA	-TA	NA	NA
Eba	EBAG	11	_1	_1	NA	NA
Bge	BGER	10	-RA	-RA	NA	NA
Sma	SMAR	10	-RA	-PA	NA	NA
Ame	GB	7	-RA	-PA	NA	NA
Bla	BLAG	12	_1	_1	NA	NA
Obi	Ocbimv	15	_1	_1	NA	NA
Tca	TC	8	_001	_001	NA	NA
Cdi	CD	7	.1	.1	NA	NA
Aae	AAEL	10	-RA	-PA	NA	NA
Sp2	LOC	9	-T	-P	XM_	XP_
Bt2	ENSBTAG	18	-T	-P	ENSBTAT	ENSBTAP
Mdo	ENSMODG	18	-T	-P	ENSMODT	ENSMODP
Gga	ENSGALG	18	-T	-P	ENSGALT	ENSGALP
Xtr	ENSXETG	18	-T	-P	ENSXETT	ENSXETP
Dre	ENSDARG	18	-T	-P	ENSDART	ENSDARP
Cmi	ENSCMIG	18	-T	-P	ENSCMIT	ENSCMIP
