Species	BGName	Test
Aae	BilaConserved	Bilateria_ancestral
Ame	BilaConserved	Bilateria_ancestral
Bge	BilaConserved	Bilateria_ancestral
Bla	BilaConserved	Bilateria_ancestral
Bmo	BilaConserved	Bilateria_ancestral
Bt2	BilaConserved	Bilateria_ancestral
Cdi	BilaConserved	Bilateria_ancestral
Cmi	BilaConserved	Bilateria_ancestral
Dme	BilaConserved	Bilateria_ancestral
Dre	BilaConserved	Bilateria_ancestral
Eba	BilaConserved	Bilateria_ancestral
Gga	BilaConserved	Bilateria_ancestral
Hs2	BilaConserved	Bilateria_ancestral
Mdo	BilaConserved	Bilateria_ancestral
Mm2	BilaConserved	Bilateria_ancestral
Obi	BilaConserved	Bilateria_ancestral
Sma	BilaConserved	Bilateria_ancestral
Sp2	BilaConserved	Bilateria_ancestral
Tca	BilaConserved	Bilateria_ancestral
Xtr	BilaConserved	Bilateria_ancestral
